140706064629760, 0
140705867497472, 1
140705871691776, 0
140705875886080, 1
140705745862656, 0
140705750056960, 1
140705754251264, 0
140705758445568, 1
140705762639872, 0
140705766834176, 1
140705771028480, 0
140705775222784, 1
140705712308224, 0
140705716502528, 1
140705720696832, 0
140705724891136, 1
140705729085440, 0
140705733279744, 1
140705737474048, 0
140705741668352, 1
140705678753792, 0
140705682948096, 1
140705687142400, 0
140705691336704, 1
140705695531008, 0
140705699725312, 1
140705703919616, 0
140705708113920, 1
140705645199360, 0
140705649393664, 1
140705653587968, 0
140705657782272, 1
140705661976576, 0
140705666170880, 1
140705670365184, 0
140705674559488, 1
140705611644928, 0
140705615839232, 1
140705620033536, 0
140705624227840, 1
140705628422144, 0
